imgName,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49
1,-1821.020998,4.656250835,1382.669989,145.5464616,-1613.548,-1183.25177,1442.226922,-667.464081,199.3854035,104.8137742,189.1620188,-975.9381514,241.4667239,-249.8678477,788.7787567,-428.6241184,-1130.252391,223.013997,339.4052219,142.3748953,-227.5229792,530.530068,1402.551681,126.1733472,-245.9021992,-1688.429903,-849.0902967,-281.7042123,220.6964427,-399.0687248,-541.409131,-389.0485493,57.5287757,1292.793086,71.01706776,-812.108258,-180.1497903,-420.6300592,1013.668434,-72.89379411,-628.4248158,359.1541314,-289.8475943,215.3816258,-234.7201868,-322.7881897,-298.8839931,-429.4602556,-103.7627096,1012.617236
4,-171.1987861,-492.9844052,-3395.027736,-1224.562001,-455.4898781,-224.548702,1040.87846,966.4607307,2242.959902,-155.2563433,-226.8435119,-207.7855695,-1093.445349,1974.261062,-1320.382812,-1460.877325,-892.2952509,222.0408455,45.88283564,-403.8317653,-319.1824001,118.0203677,-520.1041611,-959.140043,-206.3080514,-341.9539991,94.76736587,-400.1204005,1044.338454,529.7005622,-40.83160657,-63.48507307,89.58570341,169.1391874,341.0834446,-68.65643634,478.595292,93.26436399,686.3363458,167.4860461,1232.5351,-819.7870474,-1342.100015,272.4171255,-647.4249334,325.1663379,-614.0997569,297.2810439,219.8399599,676.4084562
6,1212.956386,1645.784125,890.4945105,-3236.400544,-630.2859192,2101.993452,424.658245,-115.2699164,-897.1894386,979.9475364,819.8410513,-549.4734341,100.8590716,697.4899203,-135.5490244,-640.8898818,389.6243068,256.1952244,736.426181,-343.148971,154.0857729,-492.2401809,204.7703751,1358.126684,607.3721793,-1022.345383,816.8142921,250.0744564,465.2707183,-370.7931181,-1030.487132,684.7774605,395.1280417,871.5149897,48.99751129,366.1070307,-445.2095024,-495.8845533,-247.4935447,500.6201091,-106.1524849,278.419374,204.2887811,-586.4595463,426.7767558,260.0091039,55.50189152,173.9688112,-822.1003329,1318.733686
7,-1368.650869,401.5063043,-272.8258569,-856.6511818,327.8897315,2825.222384,1725.875357,488.852811,243.9300411,1154.394016,242.9069617,807.2024617,1681.087254,160.3487625,372.7384496,731.3021907,-272.4033724,-411.6759488,-424.2924343,-1713.368012,360.5966107,519.1955623,1181.321554,-563.1587255,-850.8980122,-331.4366084,-810.91055,-207.1769079,-352.6480647,508.3039825,-986.4029342,-862.2517188,553.1390307,868.4033683,451.5328399,-562.6435297,-627.4582426,625.3693699,-267.6482179,314.4423488,510.7615961,-417.9273691,-52.80357088,1096.755722,842.9068944,-224.0251574,298.9734378,277.1269552,-506.7493268,81.21198389
8,-1837.521231,1017.435961,1743.526555,-93.59980925,-1164.139342,-397.0609124,1851.238491,366.447463,-232.1972987,-896.5734989,718.7843425,-1717.764182,1265.017252,514.0292184,1588.471663,-43.66895594,-1063.624561,-445.0052247,1063.061945,-710.7636862,-671.5309839,481.3784924,83.20361436,385.8056074,578.4467984,-172.576727,-224.9647505,-739.3245758,583.6036964,-75.01381254,-365.5787197,-1443.568805,449.7445021,1465.389561,-55.13254137,-1342.302853,-1106.673856,859.2580403,-291.8665301,-281.1326487,567.9494419,-79.49218771,72.29962661,-36.55884502,-13.76546548,783.165752,-425.8119131,-1038.767663,-331.448893,948.0574091
9,-524.7347723,1515.614072,992.2434133,-517.1549465,-1705.692713,454.0045974,1757.108956,711.690341,-682.7689455,2352.706969,133.8296085,1220.202612,496.723335,-486.8225524,328.1275707,608.0167705,1029.417495,149.7040241,750.1270086,-817.8356563,1217.28146,-598.4531839,-1337.491006,-524.1700923,247.3653022,286.4958971,175.2266604,-224.6078418,292.764393,-225.8790389,279.3126109,-670.5772261,1444.689661,-899.0388669,199.053221,-288.4671664,-159.8400332,-139.5776189,1466.133893,688.5821785,-319.447983,936.2688037,-538.3510166,-10.50550894,-763.8948195,374.8238052,449.7584977,389.7671702,736.2156797,-470.7213826
13,-1771.578694,179.4941898,1394.170404,506.8835722,-2512.383656,-1201.180027,439.3690674,-1220.238411,715.151861,-377.6498935,90.31707792,-332.1416606,794.3870669,244.3539576,-1426.55633,1159.610188,281.5143795,-415.2791706,-2057.418953,-410.0520284,60.29945264,-574.3475393,301.4778728,-143.8718818,-106.4807133,-746.6549848,71.0330749,521.82352,332.8177918,-389.5661499,418.3183289,-29.18939481,-266.5132594,119.6305336,-209.2875004,399.8601166,303.6466933,6.761894911,-289.4314783,-584.5765457,13.6938139,225.8898367,-356.5503013,185.3629547,-136.5447615,-329.1245242,185.4362672,-223.5700773,177.4448537,397.9798428
22,1372.171218,-1374.258154,-454.6869575,1662.971973,-568.3817073,-1103.321846,-889.0986872,1049.640763,1454.229126,732.9241589,736.7857741,-1688.077407,40.97671699,704.7718938,-962.1012765,842.9325184,1760.895869,-955.0016765,260.9163729,656.2631699,-341.1367268,1119.323895,1310.376616,696.4244958,550.1548779,1623.721161,-795.2674242,-946.4982604,-744.0724924,-424.7378913,277.2254739,-343.9561132,1516.98789,-1232.515355,293.7385166,436.4941241,375.0859835,-171.185122,71.31461902,1756.94048,-307.6418413,1089.661051,-925.3657398,-260.0929738,125.2655891,-191.5489453,568.8820536,89.11814786,921.4136791,824.9090237
21,-548.7301821,-1784.495145,-13.41375837,1980.453591,-199.70617,1698.550018,-550.8566816,625.2675913,24.2646913,-541.0522144,-70.82222448,-189.4023172,-1616.331434,507.8816807,215.6934175,705.8947273,-512.3113541,-877.6752707,-1107.141904,336.0485362,145.6238585,333.8778145,634.6085614,1000.407884,813.3511692,-23.26633934,-31.00833511,-698.5721986,-533.3741841,-581.8664068,-127.4946472,119.1495486,-7.634503017,-697.8097658,248.748071,84.57731599,-586.7290579,298.2581061,151.7415047,-172.9016387,-126.3657214,324.5024206,-259.1733016,-155.4146346,169.9634193,390.3422207,334.8591804,-542.4995043,171.4590685,-131.202161
43,3439.486052,1.849725491,-385.8604677,-1861.690352,-1710.766222,-1196.084592,-1601.603143,-1055.876606,-1005.063357,172.8065477,485.6772133,657.4106972,-1944.030139,1778.796913,1346.167197,424.2180452,-53.83917848,-59.08823985,-1958.478951,-352.9972388,-48.88946279,-371.4688415,41.68958553,-607.4975888,33.00120386,-19.7291724,132.1023348,900.2813162,130.2484579,768.3608244,-68.47684956,-333.2493641,-342.8614949,876.7526276,575.1855503,-750.422332,457.563228,880.2069414,182.2024961,113.0742584,-590.2066312,-39.7782197,746.5721971,54.75153964,466.0817313,-170.426694,-542.8346427,312.810677,-310.2335713,180.7796497
